grid,n_types,n_wd,rule,sigma,honest_share,manipulation,mispricing,welfare,deviation_gain,max_deviation_gain
browser,9,3,committed,0.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,5.666666666666667,0.3333333333333333,1.0
browser,9,3,revisable,0.5,0.6666666666666666,0.16666666666666666,0.7496219721909957,5.833333333333333,0.1666666666666668,0.5000000000000009
research,21,9,committed,0.5,0.0,0.7142857142857143,0.5714285714285714,5.263392857142857,0.6919642857142857,2.0
research,21,9,revisable,0.5,0.0,0.35714285714285715,0.8691089558082241,5.631696428571429,0.3459821428571432,1.0000000000000009
