lambda,sigma,rule,honest_share,manipulation,mispricing,welfare,deviation_gain,max_deviation_gain
0.0,0.5,revisable,0.6666666666666666,0.3333333333333333,0.6666666666666666,5.666666666666667,0.3333333333333333,1.0
0.25,0.5,revisable,0.6666666666666666,0.3333333333333333,0.5940220288414236,5.666666666666667,0.25,0.75
0.5,0.5,revisable,0.6666666666666666,0.16666666666666666,0.7502554258540393,5.833333333333333,0.16666666666666685,0.5000000000000018
0.75,0.5,revisable,0.6666666666666666,0.16666666666666666,0.715532419615642,5.833333333333333,0.16666666666666663,0.5
1.0,0.5,revisable,0.6666666666666666,0.16666666666666666,0.7496219721909957,5.833333333333333,0.1666666666666668,0.5000000000000009
1.25,0.5,revisable,0.6666666666666666,0.16666666666666666,0.8276523812101869,5.833333333333333,0.16666666666666685,0.5000000000000018
1.5,0.5,revisable,0.6666666666666666,0.16666666666666666,0.9282435407283681,5.833333333333333,0.16666666666666666,0.5
1.75,0.5,revisable,0.6666666666666666,0.16666666666666666,1.0419165496530873,5.833333333333333,0.16666666666666666,0.5
2.0,0.5,revisable,0.6666666666666666,0.16666666666666666,1.1636015564181958,5.833333333333333,0.16666666666666666,0.5
,0.5,committed,0.6666666666666666,0.3333333333333333,0.6666666666666666,5.666666666666667,0.3333333333333333,1.0
