sigma,rule,honest_share,manipulation,mispricing,welfare,deviation_gain,max_deviation_gain
0.0,committed,0.6666666666666666,0.3333333333333333,0.6666666666666666,5.666666666666667,0.3333333333333333,1.0
0.0,revisable,0.6666666666666666,0.16666666666666666,0.6666666666666666,5.833333333333333,0.16666666666666666,0.5
0.25,committed,0.6666666666666666,0.3333333333333333,0.6666666666666666,5.666666666666667,0.3333333333333333,1.0
0.25,revisable,0.6666666666666666,0.16666666666666666,0.7081443194288313,5.833333333333333,0.16666666666666638,0.5000000000000004
0.5,committed,0.6666666666666666,0.3333333333333333,0.6666666666666666,5.666666666666667,0.3333333333333333,1.0
0.5,revisable,0.6666666666666666,0.16666666666666666,0.7496219721909957,5.833333333333333,0.1666666666666668,0.5000000000000009
0.75,committed,0.6666666666666666,0.3333333333333333,0.6666666666666666,5.666666666666667,0.3333333333333333,1.0
0.75,revisable,0.6666666666666666,0.16666666666666666,0.7910996249531602,5.833333333333333,0.16666666666666657,0.5
1.0,committed,0.6666666666666666,0.3333333333333333,0.6666666666666666,5.666666666666667,0.3333333333333333,1.0
1.0,revisable,0.6666666666666666,0.16666666666666666,0.8325772777153246,5.833333333333333,0.16666666666666669,0.5000000000000004
1.25,committed,0.6666666666666666,0.3333333333333333,0.6666666666666666,5.666666666666667,0.3333333333333333,1.0
1.25,revisable,0.6666666666666666,0.16666666666666666,0.878158306418809,5.833333333333333,0.16666666666666663,0.5
1.5,committed,0.6666666666666666,0.3333333333333333,0.6666666666666666,5.666666666666667,0.3333333333333333,1.0
1.5,revisable,0.6666666666666666,0.16666666666666666,0.9294082899877085,5.833333333333333,0.16666666666666655,0.5
2.0,committed,0.6666666666666666,0.3333333333333333,0.6666666666666666,5.666666666666667,0.3333333333333333,1.0
2.0,revisable,0.6666666666666666,0.16666666666666666,1.0404837005538576,5.833333333333333,0.16666666666666685,0.5000000000000009
2.5,committed,0.6666666666666666,0.3333333333333333,0.6666666666666666,5.666666666666667,0.3333333333333333,1.0
2.5,revisable,0.6666666666666666,0.16666666666666666,1.1545104272250615,5.833333333333333,0.16393108270578688,0.5
3.0,committed,0.6666666666666666,0.3333333333333333,0.6666666666666666,5.666666666666667,0.3333333333333333,1.0
3.0,revisable,0.6666666666666666,0.16666666666666666,1.2676300137854035,5.833333333333333,0.15741619550129682,0.5
